x y T T_exact
0.911721 0.150981 228.681 228.62
0.147059 0.320764 116.232 116.183
0.294118 0.252841 182.903 182.802
0.147059 0.830191 82.3168 82.3174
0.294118 0.405669 144.251 144.196
0.966281 0.764383 191.535 191.542
0.632353 0.889624 119.039 119.032
0.205882 0.779248 91.3174 91.3114
0.967467 0.910424 177.908 177.988
0.191176 0.278312 143.16 143.09
0.720588 0.736796 151.874 151.86
0.279412 0.99151 99.9017 99.8467
0.882353 0.303783 210.378 210.344
0.500006 0.218878 226.256 226.141
0.308824 0.43114 142.814 142.762
0.764072 0.0340229 287.728 287.707
0.017638 0.292824 59.3317 59.3332
0.911735 0.0164033 287.717 287.774
0.981612 0.676545 196.947 196.935
0.779412 0.838682 141.86 141.855
0.558824 0.405669 186.346 186.283
0.0725098 0.379158 78.9289 78.9074
0.779412 0.227369 230.005 229.935
0.161765 0.753777 84.0781 84.0739
0.279338 0.125506 230.844 230.666
0.191176 0.24435 153.305 153.216
0.838228 0.7368 167.905 167.897
0.852941 0.167936 236.452 236.371
0.220588 0.99151 99.4699 99.404
0.161779 0.142457 183.968 183.822
0.132353 0.346236 106.064 106.024
0.176471 0.167936 177.445 177.316
0.0884839 0.677507 70.233 70.2319
0.911457 0.117171 237.346 237.237
0.983404 0.911097 188.295 188.357
0.925779 0.125587 230.496 230.431
0.544118 0.906605 112.233 112.227
0.823527 0.762269 162.024 162.018
0.0168754 0.147065 68.0448 68.054
0.117647 0.881134 80.1849 80.1909
0.294118 0.456612 135.214 135.169
0.147059 0.728306 81.617 81.6126
0.794118 0.218879 230.973 230.9
0.558824 0.42265 183.065 183.005
0.455882 0.482083 159.726 159.676
0.191176 0.346236 127.23 127.174
0.00990323 0.338169 54.516 54.497
0.529422 0.167937 243.837 243.698
0.294118 0.473592 132.527 132.483
0.926446 0.00819973 292.527 293.056
0.00849045 0.132353 60.2142 60.1793
0.0166975 0.176473 64.8617 64.8602
0.764706 0.218879 232.655 232.578
0.735294 0.728306 154.843 154.828
0.205882 0.354726 130.31 130.258
0.0173011 0.264079 60.194 60.1902
0.455911 0.193397 229.939 229.819
0.779412 0.855662 138.317 138.311
0.75 0.295293 217.106 217.042
0.279412 0.651892 109.332 109.312
0.132464 0.787811 78.7163 78.7134
0.205882 0.728306 92.4184 92.4096
0.00848397 0.397181 53.2679 53.2474
0.764706 0.881134 130.904 130.9
0.749366 0.0425133 285.115 285.07
0.823529 0.864152 142.968 142.968
0.117647 0.677363 76.6169 76.6123
0.602941 0.600949 158.622 158.591
0.132353 0.702834 79.137 79.1324
0.367647 0.397178 161.443 161.378
0.264706 0.42265 134.07 134.02
0.25 0.482083 121.322 121.285
0.0739946 0.686084 66.8816 66.8792
0.0882353 0.711277 69.7276 69.725
0.794118 0.932076 120.864 120.865
0.0412509 0.132627 97.7655 97.701
0.99151 0.779412 197.68 197.549
0.897015 0.12551 238.893 238.809
0.176471 0.252841 144.752 144.68
0.983091 0.852978 192.872 192.872
0.0724288 0.652479 67.0453 67.0403
0.147059 0.303783 119.645 119.597
0.779412 0.295293 216.593 216.533
0.991746 0.720997 198.31 198.192
0.25 0.499064 119.076 119.04
0.191176 0.787739 88.93 88.924
0.102941 0.685854 73.2596 73.2559
0.991399 0.661599 198.662 198.579
0.808824 0.295293 215.641 215.587
0.75 0.889624 127.49 127.485
0.102941 0.702787 72.9819 72.9793
0.764706 0.864153 134.666 134.661
0.132353 0.736796 78.6334 78.6289
0.176471 0.762268 86.626 86.6197
0.735294 0.575478 174.996 174.968
0.705882 0.711325 153.92 153.904
0.235294 0.456612 121.309 121.271
0.867623 0.88961 145.014 145.021
0.117647 0.728258 75.7521 75.75
0.205883 0.050508 261.265 261.103
0.25 0.43114 128.953 128.908
0.279338 0.142486 222.697 222.534
0.544118 0.295293 209.377 209.288
0.852936 0.762271 167.083 167.078
0.00874699 0.278932 54.8786 54.8482
0.735294 0.507554 183.705 183.671
0.0736095 0.991556 96.5122 96.709
0.323529 0.218879 201.23 201.111
0.308824 0.193408 207.502 207.37
0.264706 0.405669 137.117 137.065
0.102955 0.991517 97.6849 97.6211
0.529418 0.201898 233.557 233.435
0.779412 0.906605 126.333 126.332
0.294118 0.371707 151.195 151.129
0.882353 0.167936 231.476 231.398
0.382353 0.915096 104.633 104.628
0.279412 0.397178 142.388 142.33
0.161765 0.278312 131.607 131.548
0.25 0.380198 138.151 138.096
0.25 0.448121 126.253 126.209
0.58782 0.0674753 277.733 277.708
0.264706 0.660382 106.144 106.126
0.235294 0.558497 109.077 109.052
0.779412 0.940567 117.267 117.262
0.676471 0.218879 234.397 234.306
0.176472 0.0665863 242.185 241.904
0.455882 0.499064 156.849 156.8
0.235294 0.575478 107.458 107.434
0.959229 0.89648 176.313 176.36
0.00848273 0.102955 63.201 62.9896
0.426471 0.346236 182.985 182.906
0.602591 0.00828805 297.262 297.162
0.308824 0.397178 149.297 149.236
0.867538 0.00845239 295.491 295.765
0.602941 0.499064 173.999 173.954
0.823529 0.60944 179.791 179.774
0.191176 0.329255 130.752 130.697
0.676471 0.0166818 294.488 294.503
0.323529 0.371707 157.95 157.881
0.991565 0.896963 194.78 194.664
0.264706 0.677363 104.964 104.948
0.323529 0.201898 207.383 207.257
0.103152 0.533018 78.7753 78.7647
0.308824 0.99151 100.078 100.128
0.161765 0.736796 84.2901 84.2836
0.308824 0.448121 139.832 139.782
0.411765 0.881134 108.395 108.387
0.958738 0.750027 190.384 190.376
0.279412 0.24435 181.922 181.815
